"구분(1)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"구분(1)",일산화탄소(CO),질소산화물(NOx),황산화물(SOx),총 부유먼지(TSP),미세먼지(PM-10),초미세먼지(PM-2.5),블랙카본(BC),휘발성유기화합물(VOCs),암모니아(NH₃),일산화탄소(CO),질소산화물(NOx),황산화물(SOx),총 부유먼지(TSP),미세먼지(PM-10),초미세먼지(PM-2.5),블랙카본(BC),휘발성유기화합물(VOCs),암모니아(NH₃),일산화탄소(CO),질소산화물(NOx),황산화물(SOx),총 부유먼지(TSP),미세먼지(PM-10),초미세먼지(PM-2.5),블랙카본(BC),휘발성유기화합물(VOCs),암모니아(NH₃),일산화탄소(CO),질소산화물(NOx),황산화물(SOx),총 부유먼지(TSP),미세먼지(PM-10),초미세먼지(PM-2.5),블랙카본(BC),휘발성유기화합물(VOCs),암모니아(NH₃),일산화탄소(CO),질소산화물(NOx),황산화물(SOx),총 부유먼지(TSP),미세먼지(PM-10),초미세먼지(PM-2.5),블랙카본(BC),휘발성유기화합물(VOCs),암모니아(NH₃),일산화탄소(CO),질소산화물(NOx),황산화물(SOx),총 부유먼지(TSP),미세먼지(PM-10),초미세먼지(PM-2.5),블랙카본(BC),휘발성유기화합물(VOCs),암모니아(NH₃)
"경기도",132684806,195127267,10108677,79780194,31076383,10767789,3538926,190278931,37999395,126981470,181469513,8950912,80065741,30556030,10353098,3288680,184741736,39993049,115018438,165943178,9039335,78443988,28660767,9444036,2803646,182695464,39992391,109728416,151753625,5956094,78619680,28075782,8991321,2516238,184104799,37941170,107100208,143927501,5320651,79696819,28772056,8858628,2307856,188788604,36233165,105482091,137200495,5810563,78338288,29064943,8732680,2241165,191376920,38537186
"강원특별자치도",48857041,87580787,14171042,21809481,9364555,4085125,835574,27050667,12145259,46488194,80390824,13843336,21546255,9354111,3983012,773838,27611584,13220804,47347824,74180408,13163319,21338006,8998583,4006296,688185,27274550,13116578,41561108,59266780,10475228,19656462,7946339,3455878,595647,26259946,13017157,41312369,55060053,10745095,19661267,7889079,3461730,544699,26260521,13354923,48800831,55995726,10365225,20599595,9019375,4278968,606042,25800923,13537574
"충청북도",45867922,69223706,8429497,24290720,9283177,3760473,954929,41223580,13307642,42366347,61379870,7106179,23975474,9006799,3568621,885903,42405000,13808882,39672827,54711526,7194240,23118012,8483182,3377137,757200,39183349,13608033,37163027,48984473,6368615,23068624,8235661,3160514,639298,38795876,13428512,36566069,47893136,6748335,23426195,8271857,3165368,583600,39758294,13693366,38170616,47335356,7236989,23810791,8894874,3632556,652289,37686070,14152209
"충청남도",66114157,106994293,56121306,36056780,14236075,6539930,1206988,75358348,41997158,63728613,100129735,54393922,38876911,15915560,7419280,1170387,76161751,44168686,62617953,87123755,48900899,35289539,13384606,6062757,1036871,73439674,44167069,58979028,72816291,36000504,34598555,12765996,5774054,855559,70496195,42893945,60527948,69902028,33896863,33761996,12051208,5394065,830885,78180901,43536060,123759045,77410602,21062077,32654811,12348020,5487577,867182,70588730,39196626
"전북특별자치도",41714079,41230104,5569555,26902100,8935218,3319438,865503,67508666,24722691,38821373,39026623,3801991,27451490,9034247,3216698,791231,65068942,26515520,38816339,36831024,4849564,27952398,9154199,3237881,743839,72994689,26235812,36067221,33012380,4067953,27302646,8692161,3011352,640148,68817801,26123111,33508084,30376688,2986567,26473528,8104515,2789283,542397,67464898,26321081,32673088,28825599,2926219,24584938,7762528,2679574,531906,64665504,26297477
"전라남도",69027177,103192080,50759073,35409294,14557276,6741042,1118473,90825324,35800299,67452441,101551516,49227322,35068071,14270154,6587048,1053757,89982331,37866024,66985911,93169007,42371540,36223165,14720175,6592868,1033082,99090344,38130572,64540534,85188652,33820819,35196590,13921936,6252200,922999,100199702,37923172,64187201,80972649,27642578,34669490,13466656,6176506,838582,99217389,38309256,152603653,75253769,19942183,31806918,12861989,6071446,832433,86224856,32631311
"경상북도",93031680,93507804,18802677,44984003,18077456,8327784,1913151,84595885,30949664,89935313,92354744,18402883,47372674,19410537,8745221,1858205,85262317,31184016,85092250,86331718,17423727,43906726,17215981,7686567,1603569,82491135,31388385,85269563,78253631,15855321,45360276,17685102,7892414,1443748,81687753,31717675,83615889,69953198,12680665,44440065,16780035,7405397,1353028,83054466,32619409,160501163,70590470,19182517,46047810,18667291,8929487,1526608,83251589,32580412
"경상남도",61220998,86551144,26567274,31206319,12241737,5018426,1252374,99661288,23181922,58223696,73544282,22213271,30351501,11507947,4696417,1076921,92734421,23314107,54256663,63470283,16295012,29500822,10833249,4279441,922133,94744643,23460383,51287193,53971328,8588217,29379658,10404086,3940349,781933,95477851,22682134,50349340,49980488,8819066,29546109,10377490,3851455,720433,94574671,23567347,53659446,48315279,9018920,28787280,10676428,4048808,762296,88648078,23110803
"제주특별자치도",22767115,17916456,2068975,7884632,3022817,1257830,273455,14299185,6434086,22886027,17646932,1861654,7961378,2998467,1266739,250831,14486206,6394219,22855281,16727320,1618945,7843316,2814316,1220286,207400,14053866,6434232,22957165,14228377,864542,7753255,2739143,1199567,195644,14592536,6276147,23120599,13267416,678528,8509169,2889902,1247899,177718,15353547,6333985,24135166,12873584,561179,9012531,3089482,1277310,175440,14814464,6106077
"바다",46613482,90599713,11163141,3394573,3394573,3168527,521508,15245410,8115,45327175,85738845,9281842,3348673,3348673,3122543,556598,14809015,7702,47332678,89811760,11162477,3527102,3527102,3287811,583860,15465279,8054,47036312,86131955,7053355,3358904,3358904,3134849,555754,15352204,7747,47224123,88142530,4208597,3504954,3504954,3267215,572302,15420800,7923,44036069,81871154,3130317,3338528,3338528,3109021,538379,14376159,7355
